"";"region";"AgeGrp_min";"AgeGrp_max";"NUTS";"date";"Year";"WeekNo";"male_covid_death";"female_covid_death";"NC_covid_death";"total_covid_death";"country";"type"
"122";"Schleswig-Holstein";"35";"59";"Germany";"2020/12/12";"2020";"50";1;0;0;1;"Germany";"AgeGender"
"123";"Schleswig-Holstein";"15";"34";"Germany";"2020/12/12";"2020";"50";0;0;0;0;"Germany";"AgeGender"
"124";"Schleswig-Holstein";"5";"14";"Germany";"2020/12/12";"2020";"50";0;0;0;0;"Germany";"AgeGender"
"125";"Schleswig-Holstein";NA;NA;"Germany";"2020/12/12";"2020";"50";0;0;0;0;"Germany";"AgeGender"
"126";"Schleswig-Holstein";"0";"4";"Germany";"2020/12/12";"2020";"50";0;0;0;0;"Germany";"AgeGender"
"127";"Schleswig-Holstein";"60";"79";"Germany";"2020/12/21";"2020";"52";2;0;0;2;"Germany";"AgeGender"
"128";"Schleswig-Holstein";"80";NA;"Germany";"2020/12/21";"2020";"52";6;5;0;11;"Germany";"AgeGender"
"129";"Schleswig-Holstein";"35";"59";"Germany";"2020/12/21";"2020";"52";0;2;0;2;"Germany";"AgeGender"
"130";"Schleswig-Holstein";"15";"34";"Germany";"2020/12/21";"2020";"52";0;0;0;0;"Germany";"AgeGender"
"131";"Schleswig-Holstein";"5";"14";"Germany";"2020/12/21";"2020";"52";0;0;0;0;"Germany";"AgeGender"
"132";"Schleswig-Holstein";NA;NA;"Germany";"2020/12/21";"2020";"52";0;0;0;0;"Germany";"AgeGender"
"133";"Schleswig-Holstein";"0";"4";"Germany";"2020/12/21";"2020";"52";0;0;0;0;"Germany";"AgeGender"
"134";"Schleswig-Holstein";"60";"79";"Germany";"2021/01/14";"2021";"02";5;0;0;5;"Germany";"AgeGender"
"135";"Schleswig-Holstein";"80";NA;"Germany";"2021/01/14";"2021";"02";3;5;0;8;"Germany";"AgeGender"
"136";"Schleswig-Holstein";"35";"59";"Germany";"2021/01/14";"2021";"02";0;0;0;0;"Germany";"AgeGender"
"137";"Schleswig-Holstein";"15";"34";"Germany";"2021/01/14";"2021";"02";0;0;0;0;"Germany";"AgeGender"
"138";"Schleswig-Holstein";"5";"14";"Germany";"2021/01/14";"2021";"02";0;0;0;0;"Germany";"AgeGender"
"139";"Schleswig-Holstein";NA;NA;"Germany";"2021/01/14";"2021";"02";0;0;0;0;"Germany";"AgeGender"
"140";"Schleswig-Holstein";"0";"4";"Germany";"2021/01/14";"2021";"02";0;0;0;0;"Germany";"AgeGender"
"141";"Schleswig-Holstein";"60";"79";"Germany";"2021/01/26";"2021";"04";3;1;0;4;"Germany";"AgeGender"
"142";"Schleswig-Holstein";"80";NA;"Germany";"2021/01/26";"2021";"04";2;10;0;12;"Germany";"AgeGender"
"143";"Schleswig-Holstein";"35";"59";"Germany";"2021/01/26";"2021";"04";1;0;0;1;"Germany";"AgeGender"
"144";"Schleswig-Holstein";"15";"34";"Germany";"2021/01/26";"2021";"04";0;0;0;0;"Germany";"AgeGender"
"145";"Schleswig-Holstein";"5";"14";"Germany";"2021/01/26";"2021";"04";0;0;0;0;"Germany";"AgeGender"
"146";"Schleswig-Holstein";NA;NA;"Germany";"2021/01/26";"2021";"04";0;0;0;0;"Germany";"AgeGender"
"147";"Schleswig-Holstein";"0";"4";"Germany";"2021/01/26";"2021";"04";0;0;0;0;"Germany";"AgeGender"
"148";"Schleswig-Holstein";"60";"79";"Germany";"2020/03/22";"2020";"12";2;0;0;2;"Germany";"AgeGender"
"149";"Schleswig-Holstein";"80";NA;"Germany";"2020/03/22";"2020";"12";1;0;0;1;"Germany";"AgeGender"
"150";"Schleswig-Holstein";"35";"59";"Germany";"2020/03/22";"2020";"12";0;0;0;0;"Germany";"AgeGender"
"151";"Schleswig-Holstein";"15";"34";"Germany";"2020/03/22";"2020";"12";0;0;0;0;"Germany";"AgeGender"
"152";"Schleswig-Holstein";"5";"14";"Germany";"2020/03/22";"2020";"12";0;0;0;0;"Germany";"AgeGender"
"153";"Schleswig-Holstein";NA;NA;"Germany";"2020/03/22";"2020";"12";0;0;0;0;"Germany";"AgeGender"
"154";"Schleswig-Holstein";"0";"4";"Germany";"2020/03/22";"2020";"12";0;0;0;0;"Germany";"AgeGender"
"155";"Schleswig-Holstein";"60";"79";"Germany";"2020/03/23";"2020";"13";1;0;0;1;"Germany";"AgeGender"
"156";"Schleswig-Holstein";"80";NA;"Germany";"2020/03/23";"2020";"13";2;0;0;2;"Germany";"AgeGender"
"157";"Schleswig-Holstein";"35";"59";"Germany";"2020/03/23";"2020";"13";0;0;0;0;"Germany";"AgeGender"
"158";"Schleswig-Holstein";"15";"34";"Germany";"2020/03/23";"2020";"13";0;0;0;0;"Germany";"AgeGender"
"159";"Schleswig-Holstein";"5";"14";"Germany";"2020/03/23";"2020";"13";0;0;0;0;"Germany";"AgeGender"
