"";"date";"Year";"WeekNo";"total_covid_death";"male_covid_death";"female_covid_death";"NC_covid_death";"country";"Type"
"233";"2020-07-15";"2020";"29";"1";"1";"0";"0";"Switzerland";"Gender"
"234";"2020-03-13";"2020";"11";"3";"2";"1";"0";"Switzerland";"Gender"
"235";"2021-03-04";"2021";"09";"9";"5";"4";"0";"Switzerland";"Gender"
"236";"2020-10-05";"2020";"41";"2";"1";"1";"0";"Switzerland";"Gender"
"237";"2020-05-18";"2020";"21";"3";"3";"0";"0";"Switzerland";"Gender"
"238";"2020-10-12";"2020";"42";"5";"3";"2";"0";"Switzerland";"Gender"
"239";"2020-06-06";"2020";"23";"1";"1";"0";"0";"Switzerland";"Gender"
"240";"2020-05-05";"2020";"19";"10";"7";"3";"0";"Switzerland";"Gender"
"241";"2020-05-23";"2020";"21";"1";"0";"1";"0";"Switzerland";"Gender"
"242";"2021-03-01";"2021";"09";"9";"3";"6";"0";"Switzerland";"Gender"
"243";"2020-08-24";"2020";"35";"1";"1";"0";"0";"Switzerland";"Gender"
"244";"2020-05-09";"2020";"19";"5";"3";"2";"0";"Switzerland";"Gender"
"245";"2020-09-25";"2020";"39";"1";"0";"1";"0";"Switzerland";"Gender"
"246";"2020-10-16";"2020";"42";"10";"4";"6";"0";"Switzerland";"Gender"
"247";"2020-05-21";"2020";"21";"5";"2";"3";"0";"Switzerland";"Gender"
"248";"2020-09-18";"2020";"38";"2";"1";"1";"0";"Switzerland";"Gender"
"249";"2020-10-07";"2020";"41";"2";"2";"0";"0";"Switzerland";"Gender"
"250";"2020-03-12";"2020";"11";"4";"2";"2";"0";"Switzerland";"Gender"
"251";"2020-08-05";"2020";"32";"1";"0";"1";"0";"Switzerland";"Gender"
"252";"2020-05-03";"2020";"18";"8";"5";"3";"0";"Switzerland";"Gender"
"253";"2020-03-15";"2020";"11";"8";"6";"2";"0";"Switzerland";"Gender"
"254";"2021-02-22";"2021";"08";"8";"3";"5";"0";"Switzerland";"Gender"
"255";"2020-09-06";"2020";"36";"3";"2";"1";"0";"Switzerland";"Gender"
"256";"2020-07-21";"2020";"30";"1";"1";"0";"0";"Switzerland";"Gender"
"257";"2020-09-15";"2020";"38";"3";"1";"2";"0";"Switzerland";"Gender"
"258";"2020-06-13";"2020";"24";"1";"1";"0";"0";"Switzerland";"Gender"
"259";"2020-08-01";"2020";"31";"1";"1";"0";"0";"Switzerland";"Gender"
"260";"2021-03-10";"2021";"10";"11";"8";"3";"0";"Switzerland";"Gender"
"261";"2020-09-12";"2020";"37";"4";"2";"2";"0";"Switzerland";"Gender"
"262";"2021-03-21";"2021";"11";"7";"5";"2";"0";"Switzerland";"Gender"
"263";"2020-06-29";"2020";"27";"1";"1";"0";"0";"Switzerland";"Gender"
"264";"2020-05-17";"2020";"20";"4";"1";"3";"0";"Switzerland";"Gender"
"265";"2020-08-04";"2020";"32";"1";"1";"0";"0";"Switzerland";"Gender"
"266";"2020-05-15";"2020";"20";"5";"4";"1";"0";"Switzerland";"Gender"
