"";"region";"AgeGrp_min";"AgeGrp_max";"NUTS";"date";"Year";"WeekNo";"male_covid_death";"female_covid_death";"NC_covid_death";"total_covid_death";"country";"type"
"211";"Brussels";"80";NA;"Belgium";"2020-04-09";"2020";"15";7;16;0;23;"Belgium";"AgeGender"
"212";"Brussels";"65";"74";"Belgium";"2020-04-09";"2020";"15";0;0;0;0;"Belgium";"AgeGender"
"213";"Brussels";"75";"84";"Belgium";"2020-04-09";"2020";"15";8;5;0;13;"Belgium";"AgeGender"
"214";"Brussels";"25";"44";"Belgium";"2020-04-09";"2020";"15";0;0;0;0;"Belgium";"AgeGender"
"215";"Brussels";"45";"64";"Belgium";"2020-04-09";"2020";"15";3;2;0;5;"Belgium";"AgeGender"
"216";"Brussels";"0";"24";"Belgium";"2020-04-09";"2020";"15";0;0;0;0;"Belgium";"AgeGender"
"217";"Brussels";NA;NA;"Belgium";"2020-04-09";"2020";"15";0;0;0;0;"Belgium";"AgeGender"
"218";"Brussels";"80";NA;"Belgium";"2020-04-10";"2020";"15";15;11;0;26;"Belgium";"AgeGender"
"219";"Brussels";"65";"74";"Belgium";"2020-04-10";"2020";"15";2;1;0;3;"Belgium";"AgeGender"
"220";"Brussels";"75";"84";"Belgium";"2020-04-10";"2020";"15";14;11;0;25;"Belgium";"AgeGender"
"221";"Brussels";"25";"44";"Belgium";"2020-04-10";"2020";"15";0;0;0;0;"Belgium";"AgeGender"
"222";"Brussels";"45";"64";"Belgium";"2020-04-10";"2020";"15";1;0;0;1;"Belgium";"AgeGender"
"223";"Brussels";"0";"24";"Belgium";"2020-04-10";"2020";"15";0;0;0;0;"Belgium";"AgeGender"
"224";"Brussels";NA;NA;"Belgium";"2020-04-10";"2020";"15";0;0;0;0;"Belgium";"AgeGender"
"225";"Brussels";"80";NA;"Belgium";"2020-04-11";"2020";"15";9;11;0;20;"Belgium";"AgeGender"
"226";"Brussels";"65";"74";"Belgium";"2020-04-11";"2020";"15";2;0;0;2;"Belgium";"AgeGender"
"227";"Brussels";"75";"84";"Belgium";"2020-04-11";"2020";"15";4;6;0;10;"Belgium";"AgeGender"
"228";"Brussels";"25";"44";"Belgium";"2020-04-11";"2020";"15";0;0;0;0;"Belgium";"AgeGender"
"229";"Brussels";"45";"64";"Belgium";"2020-04-11";"2020";"15";1;0;0;1;"Belgium";"AgeGender"
"230";"Brussels";"0";"24";"Belgium";"2020-04-11";"2020";"15";0;0;0;0;"Belgium";"AgeGender"
"231";"Brussels";NA;NA;"Belgium";"2020-04-11";"2020";"15";0;0;0;0;"Belgium";"AgeGender"
"232";"Brussels";"80";NA;"Belgium";"2020-04-12";"2020";"15";4;13;0;17;"Belgium";"AgeGender"
"233";"Brussels";"65";"74";"Belgium";"2020-04-12";"2020";"15";7;1;0;8;"Belgium";"AgeGender"
"234";"Brussels";"75";"84";"Belgium";"2020-04-12";"2020";"15";7;6;0;13;"Belgium";"AgeGender"
"235";"Brussels";"25";"44";"Belgium";"2020-04-12";"2020";"15";1;0;0;1;"Belgium";"AgeGender"
