"";"AgeGrp_min";"AgeGrp_max";"NUTS";"date";"Year";"WeekNo";"male_covid_death";"female_covid_death";"NC_covid_death";"total_covid_death";"country";"type"
"148";"70";"79";"Spain";"2020-01-15";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"149";"80";NA;"Spain";"2020-01-15";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"150";NA;NA;"Spain";"2020-01-15";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"151";"0";"9";"Spain";"2020-01-16";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"152";"10";"19";"Spain";"2020-01-16";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"153";"20";"29";"Spain";"2020-01-16";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"154";"30";"39";"Spain";"2020-01-16";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"155";"40";"49";"Spain";"2020-01-16";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"156";"50";"59";"Spain";"2020-01-16";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"157";"60";"69";"Spain";"2020-01-16";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"158";"70";"79";"Spain";"2020-01-16";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"159";"80";NA;"Spain";"2020-01-16";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"160";NA;NA;"Spain";"2020-01-16";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"161";"0";"9";"Spain";"2020-01-17";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"162";"10";"19";"Spain";"2020-01-17";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"163";"20";"29";"Spain";"2020-01-17";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"164";"30";"39";"Spain";"2020-01-17";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"165";"40";"49";"Spain";"2020-01-17";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"166";"50";"59";"Spain";"2020-01-17";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"167";"60";"69";"Spain";"2020-01-17";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"168";"70";"79";"Spain";"2020-01-17";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"169";"80";NA;"Spain";"2020-01-17";"2020";"03";0;0;0;0;"Spain";"AgeGender"
