"TIME","GEO","SEX","UNIT","Value","Flag and Footnotes"
"2000W36","United Kingdom","Total","Number",":",""
"2000W37","Belgium","Total","Number","1 744",""
"2000W37","Denmark","Total","Number",":",""
"2000W37","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W37","Spain","Total","Number","6 077",""
"2000W37","Italy","Total","Number",":",""
"2000W37","Sweden","Total","Number","1 677",""
"2000W37","Switzerland","Total","Number","1 111",""
"2000W37","United Kingdom","Total","Number",":",""
"2000W38","Belgium","Total","Number","1 840",""
"2000W38","Denmark","Total","Number",":",""
"2000W38","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W38","Spain","Total","Number","5 693",""
"2000W38","Italy","Total","Number",":",""
"2000W38","Sweden","Total","Number","1 571",""
"2000W38","Switzerland","Total","Number","1 129",""
"2000W38","United Kingdom","Total","Number",":",""
"2000W39","Belgium","Total","Number","1 891",""
"2000W39","Denmark","Total","Number",":",""
"2000W39","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W39","Spain","Total","Number","5 899",""
"2000W39","Italy","Total","Number",":",""
"2000W39","Sweden","Total","Number","1 729",""
"2000W39","Switzerland","Total","Number","1 136",""
"2000W39","United Kingdom","Total","Number",":",""
"2000W40","Belgium","Total","Number","1 852",""
"2000W40","Denmark","Total","Number",":",""
"2000W40","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W40","Spain","Total","Number","6 260",""
"2000W40","Italy","Total","Number",":",""
"2000W40","Sweden","Total","Number","1 641",""
"2000W40","Switzerland","Total","Number","1 120",""
"2000W40","United Kingdom","Total","Number",":",""
"2000W41","Belgium","Total","Number","1 961",""
"2000W41","Denmark","Total","Number",":",""
"2000W41","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W41","Spain","Total","Number","6 382",""
"2000W41","Italy","Total","Number",":",""
"2000W41","Sweden","Total","Number","1 578",""
"2000W41","Switzerland","Total","Number","1 210",""
"2000W41","United Kingdom","Total","Number",":",""
"2000W42","Belgium","Total","Number","1 826",""
"2000W42","Denmark","Total","Number",":",""
"2000W42","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W42","Spain","Total","Number","6 603",""
"2000W42","Italy","Total","Number",":",""
"2000W42","Sweden","Total","Number","1 674",""
"2000W42","Switzerland","Total","Number","1 149",""
"2000W42","United Kingdom","Total","Number",":",""
"2000W43","Belgium","Total","Number","1 889",""
"2000W43","Denmark","Total","Number",":",""
"2000W43","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W43","Spain","Total","Number","6 614",""
"2000W43","Italy","Total","Number",":",""
"2000W43","Sweden","Total","Number","1 710",""
"2000W43","Switzerland","Total","Number","1 190",""
"2000W43","United Kingdom","Total","Number",":",""
"2000W44","Belgium","Total","Number","1 966",""
"2000W44","Denmark","Total","Number",":",""
"2000W44","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W44","Spain","Total","Number","6 342",""
"2000W44","Italy","Total","Number",":",""
"2000W44","Sweden","Total","Number","1 744",""
"2000W44","Switzerland","Total","Number","1 189",""
"2000W44","United Kingdom","Total","Number",":",""
"2000W45","Belgium","Total","Number","2 072",""
"2000W45","Denmark","Total","Number",":",""
"2000W45","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W45","Spain","Total","Number","6 742",""
"2000W45","Italy","Total","Number",":",""
"2000W45","Sweden","Total","Number","1 733",""
"2000W45","Switzerland","Total","Number","1 139",""
"2000W45","United Kingdom","Total","Number",":",""
"2000W46","Belgium","Total","Number","2 021",""
"2000W46","Denmark","Total","Number",":",""
"2000W46","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W46","Spain","Total","Number","6 795",""
"2000W46","Italy","Total","Number",":",""
"2000W46","Sweden","Total","Number","1 689",""
"2000W46","Switzerland","Total","Number","1 259",""
"2000W46","United Kingdom","Total","Number",":",""
"2000W47","Belgium","Total","Number","1 964",""
"2000W47","Denmark","Total","Number",":",""
"2000W47","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W47","Spain","Total","Number","6 949",""
"2000W47","Italy","Total","Number",":",""
"2000W47","Sweden","Total","Number","1 730",""
"2000W47","Switzerland","Total","Number","1 273",""
"2000W47","United Kingdom","Total","Number",":",""
"2000W48","Belgium","Total","Number","2 031",""
"2000W48","Denmark","Total","Number",":",""
"2000W48","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W48","Spain","Total","Number","6 833",""
"2000W48","Italy","Total","Number",":",""
"2000W48","Sweden","Total","Number","1 715",""
"2000W48","Switzerland","Total","Number","1 208",""
"2000W48","United Kingdom","Total","Number",":",""
"2000W49","Belgium","Total","Number","1 911",""
"2000W49","Denmark","Total","Number",":",""
"2000W49","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W49","Spain","Total","Number","6 624",""
"2000W49","Italy","Total","Number",":",""
"2000W49","Sweden","Total","Number","1 709",""
"2000W49","Switzerland","Total","Number","1 274",""
"2000W49","United Kingdom","Total","Number",":",""
"2000W50","Belgium","Total","Number","1 925",""
"2000W50","Denmark","Total","Number",":",""
"2000W50","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W50","Spain","Total","Number","6 779",""
"2000W50","Italy","Total","Number",":",""
"2000W50","Sweden","Total","Number","1 748",""
"2000W50","Switzerland","Total","Number","1 219",""
"2000W50","United Kingdom","Total","Number",":",""
"2000W51","Belgium","Total","Number","2 006",""
"2000W51","Denmark","Total","Number",":",""
"2000W51","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W51","Spain","Total","Number","6 969",""
"2000W51","Italy","Total","Number",":",""
"2000W51","Sweden","Total","Number","1 838",""
"2000W51","Switzerland","Total","Number","1 250",""
"2000W51","United Kingdom","Total","Number",":",""
"2000W52","Belgium","Total","Number","2 177",""
"2000W52","Denmark","Total","Number",":",""
"2000W52","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W52","Spain","Total","Number","7 206",""
"2000W52","Italy","Total","Number",":",""
"2000W52","Sweden","Total","Number","2 016",""
"2000W52","Switzerland","Total","Number","1 301",""
"2000W52","United Kingdom","Total","Number",":",""
"2000W99","Belgium","Total","Number",":",""
"2000W99","Denmark","Total","Number",":",""
"2000W99","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W99","Spain","Total","Number",":",""
"2000W99","Italy","Total","Number",":",""
"2000W99","Sweden","Total","Number","1 493",""
"2000W99","Switzerland","Total","Number",":",""
